File Name,Balanced_EO_gender,Balanced_EO_race,Balanced_EO_age,Balanced_DP_gender,Balanced_DP_race,Balanced_DP_age
vit.csv,0.695,0.653,0.617,0.713,0.701,0.649
vit_aug.csv,0.757,0.744,0.662,0.767,0.777,0.691
cnn.csv,0.724,0.692,0.639,0.721,0.711,0.66
cnn_aug.csv,0.73,0.713,0.652,0.736,0.733,0.679
vgg.csv,0.757,0.721,0.678,0.762,0.761,0.689
vgg_aug.csv,0.784,0.785,0.723,0.803,0.806,0.716
vit_aug_under.csv,0.675,0.649,0.619,0.699,0.695,0.662
vit_elastic.csv,0.744,0.702,0.65,0.75,0.745,0.673
vit_elastic_under.csv,0.7,0.664,0.618,0.724,0.715,0.693
t1.csv,0.68,0.6,0.573,0.69,0.68,0.622
t2.csv,0.76,0.752,0.652,0.764,0.774,0.686
t3(s1).csv,0.774,0.753,0.689,0.783,0.792,0.7
t4.csv,0.725,0.706,0.63,0.73,0.74,0.66
t5.csv,0.77,0.761,0.683,0.774,0.786,0.695
t6.csv,0.706,0.649,0.612,0.713,0.707,0.638
s2.csv,0.763,0.753,0.67,0.769,0.779,0.684
s3.csv,0.767,0.762,0.699,0.778,0.79,0.704
s4.csv,0.76,0.764,0.681,0.772,0.783,0.689
s5.csv,0.716,0.689,0.619,0.723,0.722,0.651
a1.csv,0.691,0.727,0.694,0.808,0.807,0.701
a2.csv,0.699,0.735,0.693,0.82,0.823,0.709
a3.csv,0.699,0.731,0.694,0.825,0.817,0.714
a4.csv,0.7,0.72,0.693,0.814,0.815,0.703
