,Accuracy,95% CI Lower,95% CI Upper,F1-Score,EO_gender,EO_race,EO_age,DP_gender,DP_race,DP_age
vit.csv,70.54,68.87,72.21,0.705,0.075,0.158,0.23,0.038,0.062,0.166
vit_aug.csv,78.13,76.61,79.64,0.781,0.07,0.096,0.259,0.049,0.029,0.202
cnn.csv,73.86,72.25,75.46,0.739,0.033,0.096,0.203,0.039,0.059,0.161
cnn_aug.csv,76.21,74.66,77.77,0.762,0.044,0.079,0.201,0.032,0.039,0.147
vgg.csv,78.41,76.9,79.91,0.784,0.04,0.112,0.197,0.03,0.032,0.175
vgg_aug.csv,82.5,81.11,83.89,0.825,0.077,0.075,0.2,0.04,0.034,0.214
vit_aug_under.csv,70.09,68.42,71.77,0.701,0.099,0.152,0.212,0.051,0.059,0.125
vit_elastic.csv,74.63,73.04,76.22,0.746,0.044,0.128,0.233,0.033,0.043,0.187
vit_elastic_under.csv,69.29,67.6,70.97,0.693,0.101,0.173,0.264,0.053,0.071,0.115
t1.csv,69.77,68.09,71.45,0.698,0.055,0.215,0.27,0.035,0.056,0.171
t2.csv,76.93,75.39,78.47,0.769,0.059,0.074,0.274,0.05,0.031,0.206
t3(s1).csv,79.38,77.9,80.86,0.794,0.066,0.108,0.235,0.048,0.029,0.213
t4.csv,73.76,72.15,75.37,0.738,0.063,0.101,0.253,0.053,0.034,0.194
t5.csv,77.41,75.88,78.94,0.774,0.057,0.075,0.231,0.049,0.026,0.208
t6.csv,67.2,65.48,68.92,0.672,0.045,0.16,0.233,0.032,0.043,0.182
s2.csv,78.99,77.5,80.48,0.79,0.057,0.078,0.244,0.045,0.026,0.215
s3.csv,79.17,77.69,80.66,0.792,0.074,0.083,0.21,0.051,0.027,0.2
s4.csv,78.73,77.24,80.23,0.787,0.076,0.068,0.234,0.053,0.03,0.218
s5.csv,72.19,70.55,73.83,0.722,0.052,0.106,0.246,0.038,0.039,0.181
a1.csv,81.14,79.71,82.57,0.811,0.255,0.184,0.249,0.021,0.023,0.236
a2.csv,81.96,80.55,83.37,0.82,0.258,0.187,0.271,0.017,0.011,0.238
a3.csv,82.72,81.34,84.11,0.827,0.265,0.202,0.276,0.014,0.03,0.236
a4.csv,81.55,80.14,82.97,0.816,0.25,0.21,0.264,0.021,0.019,0.243
