,Accuracy,95% CI Lower,95% CI Upper,F1-Score,EO_gender,EO_race,EO_age,DP_gender,DP_race,DP_age
vit.csv,46.44,40.08,52.81,0.464,0.075,0.158,0.23,0.038,0.062,0.166
vit_aug.csv,58.35,52.06,64.64,0.583,0.07,0.096,0.259,0.049,0.029,0.202
cnn.csv,48.04,41.66,54.41,0.48,0.033,0.096,0.203,0.039,0.059,0.161
cnn_aug.csv,50.48,44.09,56.86,0.505,0.044,0.079,0.201,0.032,0.039,0.147
vgg.csv,55.38,49.04,61.72,0.554,0.04,0.112,0.197,0.03,0.032,0.175
vgg_aug.csv,64.51,58.41,70.61,0.645,0.077,0.075,0.2,0.04,0.034,0.214
vit_aug_under.csv,44.92,38.58,51.25,0.449,0.099,0.152,0.212,0.051,0.059,0.125
vit_elastic.csv,53.24,46.88,59.59,0.532,0.044,0.128,0.233,0.033,0.043,0.187
vit_elastic_under.csv,50.04,43.67,56.42,0.5,0.101,0.173,0.264,0.053,0.071,0.115
t1.csv,41.51,35.24,47.79,0.415,0.055,0.215,0.27,0.035,0.056,0.171
t2.csv,57.82,51.52,64.11,0.578,0.059,0.074,0.274,0.05,0.031,0.206
t3(s1).csv,61.34,55.13,67.56,0.613,0.066,0.108,0.235,0.048,0.029,0.213
t4.csv,51.3,44.94,57.66,0.513,0.063,0.101,0.253,0.053,0.034,0.194
t5.csv,59.79,53.55,66.03,0.598,0.057,0.075,0.231,0.049,0.026,0.208
t6.csv,45.76,39.42,52.09,0.458,0.045,0.16,0.233,0.032,0.043,0.182
s2.csv,58.32,52.03,64.61,0.583,0.057,0.078,0.244,0.045,0.026,0.215
s3.csv,60.8,54.59,67.01,0.608,0.074,0.083,0.21,0.051,0.027,0.2
s4.csv,59.66,53.41,65.92,0.597,0.076,0.068,0.234,0.053,0.03,0.218
s5.csv,48.32,41.96,54.67,0.483,0.052,0.106,0.246,0.038,0.039,0.181
a1.csv,63.78,57.69,69.87,0.638,0.255,0.184,0.249,0.021,0.023,0.236
a2.csv,65.67,59.63,71.72,0.657,0.258,0.187,0.271,0.017,0.011,0.238
a3.csv,66.34,60.32,72.37,0.663,0.265,0.202,0.276,0.014,0.03,0.236
a4.csv,64.92,58.83,71.0,0.649,0.25,0.21,0.264,0.021,0.019,0.243
